crosshead_mean,crosshead_min,crosshead_max,crosshead_median,crosshead_standard,reaction_mean,reaction_min,reaction_max,reaction_median,reaction_standard,spray_mean,spray_min,spray_max,spray_median,spray_standard,player_name,is_pro
5.068407850283562,0.6311807822244904,16.91107661180896,2.5013938459559717,5.486752510413324,19.545454545454547,2.0,122.0,6.0,33.467388839024764,27.181818181818183,6,119,17.0,30.6796295515687,molodoy,0
7.983791334012361,1.429576437244948,24.2631404297516,4.012348148349849,8.035553811182426,13.6,2.0,34.0,9.0,11.235657524150511,37.0,6,167,20.5,45.55436312802539,yuurih,0
0.6673463172952392,0.6673463172952392,0.6673463172952392,0.6673463172952392,0.0,9.0,9.0,9.0,9.0,0.0,9.0,9,9,9.0,0.0,m0NESY,0
9.906683409642946,4.73631692261964,24.76341671868301,6.601291099510136,6.640790185482343,14.714285714285714,5.0,38.0,8.0,11.131862707873232,20.142857142857142,7,48,19.0,12.977217084772303,FalleN,0
3.116513337594423,1.6881799162210458,4.5448467589678,3.116513337594423,1.4283334213733774,9.0,9.0,9.0,9.0,0.0,20.5,6,35,20.5,14.5,karrigan,0
2.9795547783935574,1.4005351909852592,6.2661314767242615,2.252909340696365,1.7022718311002583,12.166666666666666,5.0,31.0,9.0,8.706638591072652,22.833333333333332,11,52,15.5,14.982397078646066,kyousuke,0
3.5391353695826124,2.114425632812969,4.963845106352256,3.5391353695826124,1.4247097367696435,4.5,2.0,7.0,4.5,2.5,32.0,29,35,32.0,3.0,TeSeS,0
5.094167018143419,2.2354587776408352,8.499093485802035,4.547948790987388,2.586122670856704,101.66666666666667,3.0,151.0,151.0,69.76786907707269,32.333333333333336,13,58,26.0,18.90913947157711,m0NESY,0
4.287851832766504,0.9962257835041832,15.002654951354238,1.883255573279758,5.371487488997241,12.6,5.0,29.0,8.0,8.593020423576334,11.4,6,19,12.0,4.963869458396342,flameZ,0
4.3462276258441435,4.3462276258441435,4.3462276258441435,4.3462276258441435,0.0,5.0,5.0,5.0,5.0,0.0,19.0,19,19,19.0,0.0,mezii,0
13.315480450839651,0.613574487790552,28.650006721866436,11.99917029685081,12.456182559910783,15.75,1.0,37.0,12.5,13.91716565971678,14.25,6,33,9.0,11.098986440211556,ropz,0
3.191867604841756,1.4964560040773722,4.88727920560614,3.191867604841756,1.6954116007643836,11.5,5.0,18.0,11.5,6.5,25.5,19,32,25.5,6.5,ZywOo,0
1.0720270551024271,0.7905577224923253,1.353496387712529,1.0720270551024271,0.2814693326101019,4.5,1.0,8.0,4.5,3.5,15.0,13,17,15.0,2.0,NiKo,0
7.36782160160196,0.547869367485167,28.30183498622755,4.400983905024608,7.7266193752101655,22.1,1.0,71.0,13.0,22.131199696356273,18.85,6,45,16.0,10.854837631213098,huNter-,0
4.110939869960875,0.4191812238932681,14.120134472461666,3.5295302874118986,4.009227464719036,6.0,2.0,16.0,5.0,3.141125063837266,21.733333333333334,6,57,20.0,14.275698075945552,NertZ,0
9.350681598776346,0.6801253624345283,22.08956759192356,8.864502311502246,6.859213370470984,16.88888888888889,2.0,41.0,6.0,16.09999616593774,80.22222222222223,6,227,52.0,81.7282458690966,sh1ro,0
5.362537154773012,0.9725707890314116,15.108032362414546,4.615538937798519,3.3589165197145068,12.38888888888889,2.0,44.0,7.5,11.865631457134644,20.88888888888889,6,51,19.5,12.88361961255406,zont1x,0
8.538452652251168,0.547869367485167,20.65071435112138,5.892618612242434,6.956137195597886,13.8,1.0,67.0,4.5,16.182088863926065,39.4,6,161,13.0,48.840966411405084,magixx,0
8.7111202805788,0.3226406429090578,29.336988894502753,6.611153806561981,7.646775413868989,19.666666666666668,2.0,75.0,10.0,19.303856839732543,32.583333333333336,6,233,15.0,48.90119005595762,donk,0
